DBN,lat,lng
04M375,40.796098,-73.944546
04M377,40.797507,-73.935895
04M406,40.800616,-73.939374
04M409,40.799265,-73.93374
04M435,40.794184,-73.932868
04M495,40.790191,-73.944092
04M497,40.793649,-73.948488
04M555,40.793649,-73.948488
04M610,40.792932,-73.947171
04M680,40.791966,-73.946879
04M825,40.794184,-73.932868
04M964,40.792302,-73.951425
05M030,40.805653,-73.935461
05M036,40.810705,-73.957409
05M046,40.8304,-73.9363
05M092,40.814917,-73.945838
05M123,40.820216,-73.944551
05M125,40.810793,-73.955722
05M129,40.814914,-73.95202
05M133,40.809665,-73.939178
05M148,40.817228,-73.947151
05M154,40.810499,-73.948902
05M157,40.807019,-73.938714
05M161,40.817719,-73.952476
05M175,40.814388,-73.942706
05M194,40.821208,-73.941111
05M197,40.813532,-73.938347
05M200,40.823988,-73.935746
05M285,40.807692,-73.939974
05M286,40.815747,-73.95552
05M302,40.817228,-73.947151
05M304,40.817228,-73.947151
05M318,40.825831,-73.937833
05M362,40.810793,-73.955722
05M367,40.815747,-73.95552
05M369,40.815747,-73.95552
05M499,40.823988,-73.935746
05M514,40.819793,-73.956814
05M517,40.812428,-73.953317
05M670,40.815237,-73.944299
05M692,40.820208,-73.950354
06M004,40.834877,-73.941594
06M005,40.857633,-73.922277
06M008,40.839235,-73.936614
06M018,40.871456,-73.911732
06M028,40.83163,-73.942023
06M048,40.853193,-73.933629
06M052,40.865556,-73.925464
06M098,40.867741,-73.917814
06M103,40.850561,-73.933964
06M115,40.846116,-73.93514
06M128,40.841032,-73.938701
06M132,40.850561,-73.933964
06M143,40.849311,-73.930991
06M152,40.859804,-73.927578
06M153,40.826514,-73.947599
06M173,40.845459,-73.939785
06M178,40.85924,-73.928301
06M187,40.856239,-73.93684
06M189,40.853045,-73.928048
06M192,40.82051,-73.952023
06M209,40.82051,-73.952023
06M210,40.830004,-73.944666
06M211,40.865556,-73.925464
06M218,40.860951,-73.930082
06M223,40.816626,-73.951292
06M278,40.871673,-73.912339
06M293,40.860951,-73.930082
06M311,40.866381,-73.923818
06M314,40.866381,-73.923818
06M319,40.839139,-73.935815
06M322,40.860951,-73.930082
06M324,40.839139,-73.935815
06M328,40.836982,-73.937263
06M346,40.833695,-73.942074
06M348,40.849311,-73.930991
06M349,40.845459,-73.939785
06M366,40.865575,-73.921631
06M368,40.826514,-73.947599
06M423,40.865556,-73.925464
06M462,40.856532,-73.92606
06M463,40.856532,-73.92606
06M467,40.856532,-73.92606
06M468,40.856532,-73.92606
06M513,40.841032,-73.938701
06M528,40.850683,-73.934676
06M540,40.8185,-73.949929
06M552,40.8381,-73.9383
79M645,40.784112,-73.945647
75M035,40.764129,-73.985899
75M079,40.802547,-73.942009
75M094,40.706384,-74.017456
75M138,40.805653,-73.935461
75M169,40.780798,-73.955594
75M226,40.732665,-73.98259
75M401,40.831829,-73.827642
75M501,40.831829,-73.827642
75M721,40.729052,-74.006155
75M751,40.725892,-73.987791
75M811,40.78633,-73.979217
84M065,40.810499,-73.948902
84M068,40.839139,-73.935815
84M080,40.713362,-73.986051
84M085,40.81698,-73.934951
84M100,40.807556,-73.947067
84M168,40.793649,-73.948488
84M170,40.763655,-73.990318
84M174,40.735361,-73.987064
84M186,40.804559,-73.952751
84M202,40.719676,-73.991859
84M204,40.793098,-73.951367
84M263,40.76588,-73.989776
84M265,40.85765,-73.935231
84M279,40.801573,-73.955583
84M284,40.811882,-73.947317
84M295,40.848864,-73.936073
84M320,40.718121,-73.984116
84M329,40.798461,-73.950146
84M330,40.719888,-73.97738
84M335,40.799265,-73.93374
84M336,40.819793,-73.956814
84M337,40.785559,-73.940919
84M338,40.836982,-73.937263
84M341,40.807019,-73.938714
84M350,40.813532,-73.938347
84M351,40.802649,-73.948088
84M353,40.82884,-73.945368
84M357,40.816158,-73.95357
84M358,40.758759,-73.996499
84M382,40.789174,-73.945101
84M384,40.805653,-73.935461
84M385,40.785107,-73.942154
84M386,40.801573,-73.955583
84M388,40.814917,-73.945838
84M430,40.856532,-73.92606
84M433,40.785107,-73.942154
84M478,40.868831,-73.920841
84M481,40.814598,-73.945
84M482,40.820216,-73.944551
84M483,40.807537,-73.954228
84M518,40.79001,-73.942482
84M522,40.723911,-74.004692
84M523,40.786134,-73.974483
84M702,40.802096,-73.951357
84M704,40.795404,-73.944449
84M705,40.790932,-73.943904
84M707,40.705605,-74.015837
84M708,40.801547,-73.935335
84M709,40.821208,-73.941111
84M726,40.810793,-73.955722
84M861,40.806055,-73.948385
